01/10/2020|L22_02_20201001_42401|L22|Agence Mbolo|6317487                                 |Chèque BICIG        |ORABANK Recettes|49879
01/10/2020|L25_01_20201001_42412|L25|Agence AVORBAM|                                        |Espèces|BGFI BANK|2768869
01/10/2020|L29_01_20201001_42418|L29|Agence FTTH|                                        |Espèces|BGFI BANK|2581293
01/10/2020|L29_02_20201001_42404|L29|Agence FTTH|6582344                                 |Chèque BGFI         |BGFI BANK|75639
01/10/2020|L29_02_20201001_42404|L29|Agence FTTH|6806361                                 |Chèque BGFI         |BGFI BANK|190220
01/10/2020|L29_02_20201001_42404|L29|Agence FTTH|7014098                                 |Chèque BICIG        |BGFI BANK|85715
01/10/2020|L29_02_20201001_42404|L29|Agence FTTH|7014099                                 |Chèque BICIG        |BGFI BANK|136143
01/10/2020|L29_02_20201001_42404|L29|Agence FTTH|7469349                                 |Chèque UGB          |BGFI BANK|151271
01/10/2020|L32_02_20201002_42433|L32|DCM - distribution|5877215                                 |Chèque UGB          |UGB BANK|34465000
01/10/2020|L32_02_20201002_42433|L32|DCM - distribution|6929446                                 |Chèque BICIG        |UGB BANK|95000000
01/10/2020|L32_04_20201002_42432|L32|DCM - distribution|882868                                  |BGFI  Virement      |BGFI BANK|945000
01/10/2020|L32_04_20201002_42432|L32|DCM - distribution|882872                                  |BGFI  Virement      |BGFI BANK|5008500
01/10/2020|L32_04_20201002_42432|L32|DCM - distribution|882875                                  |BGFI  Virement      |BGFI BANK|6444900
01/10/2020|L39_01_20201001_42392|L39|Agence Makokou|                                        |Espèces|ORABANK Recettes|9591750
01/10/2020|L39_01_20201001_42393|L39|Agence Makokou|                                        |Espèces|ORABANK Recettes|186090
01/10/2020|L39_01_20201001_42396|L39|Agence Makokou|                                        |Espèces|ORABANK Recettes|24300
01/10/2020|L40_01_20201001_42387|L40|Agence Gamba|                                        |Espèces|BICIG BANK|25000
01/10/2020|L40_01_20201001_42388|L40|Agence Gamba|                                        |Espèces|BICIG BANK|113010
01/10/2020|L79_01_20201001_42395|L79|Agence Tchibanga|                                        |Espèces|ORABANK Recettes|604800
01/10/2020|L79_01_20201001_42400|L79|Agence Tchibanga|                                        |Espèces|ORABANK Recettes|121406
01/10/2020|L80_01_20201001_42389|L80|Agence Bitam|                                        |Espèces|UGB BANK|56700
01/10/2020|L80_01_20201001_42390|L80|Agence Bitam|                                        |Espèces|UGB BANK|49203
01/10/2020|L86_01_20201001_42428|L86|Agence Mont-Bouet|                                        |Espèces|UBA BANK|66150
01/10/2020|L86_01_20201001_42429|L86|Agence Mont-Bouet|                                        |Espèces|UBA BANK|144706
01/10/2020|L87_01_20201001_42421|L87|Agence PK8|                                        |Espèces|UBA BANK|866700
01/10/2020|L87_02_20201001_42422|L87|Agence PK8|0000170                                 |Chèque UGB          |UBA BANK|242034
01/10/2020|M02_01_20201001_42406|M02|Agence Awendje|                                        |Espèces|BGFI BANK|18900
01/10/2020|M02_01_20201001_42407|M02|Agence Awendje|                                        |Espèces|BGFI BANK|932359
01/10/2020|M02_02_20201001_42405|M02|Agence Awendje|2902508                                 |Chèque ORABANK      |BGFI BANK|156717
02/10/2020|L02_01_20201002_42444|L02|Agence Okala|                                        |Espèces|BGFI BANK|2381673
02/10/2020|L02_02_20201002_42446|L02|Agence Okala|0000832                                 |Chèque UGB          | BGFI BANK                              |607215
02/10/2020|L03_01_20201002_42468|L03|Agence des Arcades|                                        |Espèces|UBA BANK|2423730
02/10/2020|L03_02_20201002_42467|L03|Agence des Arcades|0844796                                 |Chèque UBA          |UBA BANK|479430
02/10/2020|L03_02_20201002_42467|L03|Agence des Arcades|3104087                                 |Chèque ECOBANK      |UBA BANK|36000
02/10/2020|L03_02_20201002_42467|L03|Agence des Arcades|6788974                                 |Chèque BICIG        |UBA BANK|44030
02/10/2020|L03_02_20201002_42467|L03|Agence des Arcades|6788975                                 |Chèque BICIG        |UBA BANK|25213
02/10/2020|L04_01_20201002_42459|L04|Agence Evolis|                                        |Espèces|CITIBANK|1378523
02/10/2020|L04_02_20201002_42458|L04|Agence Evolis|0821827                                 |Chèque UBA          |CITIBANK|79081
02/10/2020|L04_02_20201002_42458|L04|Agence Evolis|3318479                                 |Chèque ORABANK      |CITIBANK|103390
02/10/2020|L04_02_20201002_42458|L04|Agence Evolis|3318480                                 |Chèque ORABANK      |CITIBANK|187572
02/10/2020|L04_02_20201002_42458|L04|Agence Evolis|6491741                                 |Chèque CDC          |CITIBANK|7500000
02/10/2020|L04_02_20201002_42458|L04|Agence Evolis|7223577                                 |Chèque BGFI         |CITIBANK|1180000
02/10/2020|L04_02_20201002_42458|L04|Agence Evolis|7223581                                 |Chèque BGFI         |CITIBANK|557690
02/10/2020|L04_02_20201002_42458|L04|Agence Evolis|7332174                                 |Chèque BGFI         |CITIBANK|253000
02/10/2020|L05_01_20201002_42464|L05|Agence Principale|                                        |Espèces|UBA BANK|2003873
02/10/2020|L05_02_20201002_42441|L05|Agence Principale|0823237                                 |Chèque UBA          |UBA BANK|3552956
02/10/2020|L05_02_20201002_42441|L05|Agence Principale|6886999                                 |Chèque BGFI         |UBA BANK|612850
02/10/2020|L05_02_20201002_42441|L05|Agence Principale|6994617                                 |Chèque BICIG        |UBA BANK|100847
02/10/2020|L05_02_20201002_42441|L05|Agence Principale|7161110                                 |Chèque BGFI         |UBA BANK|242947
02/10/2020|L05_02_20201002_42441|L05|Agence Principale|8501061                                 |Chèque UGB          |UBA BANK|63231
02/10/2020|L06_01_20201002_42472|L06|Agence Nzeng Ayong|                                        |Espèces|UBA BANK|1183684
02/10/2020|L07_01_20201002_42449|L07|Agence Sainte Marie|                                        |Espèces|UBA BANK|94500
02/10/2020|L07_01_20201002_42452|L07|Agence Sainte Marie|                                        |Espèces|UBA BANK|973956
02/10/2020|L07_02_20201002_42448|L07|Agence Sainte Marie|6996658                                 |Chèque BICIG        |UBA BANK|15006
02/10/2020|L07_02_20201002_42448|L07|Agence Sainte Marie|7608593                                 |Chèque UGB          |UBA BANK|154397
02/10/2020|L07_02_20201002_42448|L07|Agence Sainte Marie|8993476                                 |Chèque UGB          |UBA BANK|47600
02/10/2020|L07_02_20201002_42448|L07|Agence Sainte Marie|9987901                                 |Chèque UGB          |UBA BANK|62527
02/10/2020|L08_01_20201002_42469|L08|Agence Owendo|                                        |Espèces|UBA BANK|2070880
02/10/2020|L08_02_20201002_42470|L08|Agence Owendo|0000402                                 |Chèque UGB          |UBA BANK|100346
02/10/2020|L08_02_20201002_42470|L08|Agence Owendo|0845404                                 |Chèque UBA          |UBA BANK|29407
02/10/2020|L08_02_20201002_42470|L08|Agence Owendo|7281126                                 |Chèque BGFI         |UBA BANK|35294
02/10/2020|L10_01_20201002_42450|L10|Agence Carrefour SNI|                                        |Espèces|UBA BANK|209361
02/10/2020|L11_01_20201002_42471|L11|Agence Franceville|                                        |Espèces|UGB BANK|1968710
02/10/2020|L12_01_20201002_42475|L12|Agence Port-Gentil|                                        |Espèces|UGB BANK|1498533
02/10/2020|L12_02_20201002_42476|L12|Agence Port-Gentil|0001437                                 |Chèque UGB          |BGFI BANK|1758094
02/10/2020|L12_02_20201002_42476|L12|Agence Port-Gentil|0852671                                 |Chèque UBA          |BGFI BANK|179687
02/10/2020|L12_02_20201002_42476|L12|Agence Port-Gentil|3328393                                 |Chèque ORABANK      |BGFI BANK|172682
02/10/2020|L12_02_20201002_42476|L12|Agence Port-Gentil|5325962                                 |Chèque BICIG        |BGFI BANK|45381
02/10/2020|L12_02_20201002_42476|L12|Agence Port-Gentil|6665872                                 |Chèque BICIG        |BGFI BANK|215028
02/10/2020|L12_02_20201002_42476|L12|Agence Port-Gentil|6862678                                 |Chèque BICIG        |BGFI BANK|99845
02/10/2020|L12_02_20201002_42476|L12|Agence Port-Gentil|7210085                                 |Chèque BGFI         |BGFI BANK|47600
02/10/2020|L13_01_20201002_42442|L13|Agence Koulamoutou|                                        |Espèces|ORABANK Recettes|3307500
02/10/2020|L14_01_20201002_42435|L14|Agence Oyem|                                        |Espèces|UGB BANK|5197500
02/10/2020|L14_01_20201002_42440|L14|Agence Oyem|                                        |Espèces|UGB BANK|25000
02/10/2020|L15_01_20201002_42455|L15|Agence Lambaréné|                                        |Espèces|   BGFI BANK                            |223671
02/10/2020|L16_01_20201002_42473|L16|Agence Mouila|                                        |Espèces|BICIG BANK|408815
02/10/2020|L17_01_20201002_42454|L17|Agence Moanda|                                        |Espèces|   BGFI BANK                            |1469744
02/10/2020|L17_02_20201002_42453|L17|Agence Moanda|5943166                                 |Chèque BGFI         |   BGFI BANK                            |45381
02/10/2020|L22_01_20201002_42456|L22|Agence Mbolo|                                        |Espèces|ORABANK Recettes|2140843
02/10/2020|L22_02_20201002_42445|L22|Agence Mbolo|N° 2971614                              |Chèque ORABANK      |ORABANK Recettes|78019
02/10/2020|L22_02_20201002_42445|L22|Agence Mbolo|N°0000083                               |Chèque UGB          |ORABANK Recettes|40082
02/10/2020|L22_02_20201002_42445|L22|Agence Mbolo|N°3180802                               |Chèque ORABANK      |ORABANK Recettes|280053
02/10/2020|L22_02_20201002_42445|L22|Agence Mbolo|N°3336607                               |Chèque ORABANK      |ORABANK Recettes|35297
